"item_id","week","profit"
125,21,0
4,34,3948.49952698408
54,38,1023.85697849175
82,15,1959.61046777965
66,13,5491.97210621447
144,49,191.72896795552
51,34,934.817745641384
35,52,13333.113111219
10,11,5633.00742707133
163,39,19876.8419108095
3,44,7585.82496145459
115,32,7140.94259459435
139,27,1007.96901959273
15,10,9706.46275911462
133,31,9608.08731675874
148,33,0
94,18,1313.23988831256
13,11,4958.28016014666
57,9,132.359347741377
117,24,1738.35896585873
78,17,9343.04739348454
174,13,6891.16659069663
16,42,13318.773882916
171,46,5075.69414162873
185,48,623.118304732277
15,13,6329.17980979423
107,50,2606.0432707411
64,37,2994.78659968507
140,42,3012.20308934345
142,48,17299.2406732212
199,40,25242.8311179137
33,36,16738.6739370081
117,52,3642.51057266391
77,22,0
47,48,15257.9681719555
57,45,3457.3514063877
39,39,5437.21411854647
177,30,4040.11882832115
117,51,1940.83327061154
130,23,5927.88521577689
160,44,1972.45836611193
20,35,8391.62686171154
153,49,8288.50408095875
31,3,5155.82493553406
146,25,12698.1406184052
192,38,11145.9219800537
172,45,5883.96898140683
93,11,0
144,32,784.491484204796
191,16,15318.3336643682
169,41,12.3447346064254
59,27,8594.90466775121
9,12,11190.5383193422
133,24,12979.9372574166
175,32,9532.35474368598
91,28,3397.2704142487
96,22,1072.04972922921
82,2,4544.55191437361
33,14,4500.76922333605
70,35,7238.27003365944
79,14,4821.7670822723
20,16,9253.03140470091
178,44,4294.29785659958
13,27,7228.36564140161
169,12,0
92,14,5669.44544516767
75,23,10155.5387007213
77,11,0
153,40,10772.9436097968
65,9,0
148,26,1965.6614901881
43,29,13420.0088874685
77,44,4324.31798346124
39,21,1759.40727377201
90,34,0
180,27,2451.17449258125
129,14,0
19,24,19470.8538008781
44,51,12499.7136287749
37,2,36.6388222873646
89,17,7896.44651478448
197,11,4429.10825660803
114,51,10110.8410640918
35,20,6857.96975876686
180,47,5691.24889113648
53,12,0
139,23,4818.60838379267
170,27,2963.09937686812
56,51,862.874498660745
154,1,9098.27603567485
172,49,6633.77176521358
145,8,7616.68123784518
148,6,0
145,13,4765.41736366379
22,31,6775.03942008153
100,27,0
1,36,15482.2391957554
87,7,15085.8578502204
117,43,1471.06738346532
52,27,5312.42397045427
165,11,3430.53656780206
193,27,1537.89376487456
11,50,19731.3504973318
85,40,16330.6202409451
49,8,0
146,20,7153.13456200066
18,8,1303.1054007657
13,12,8103.55755684627
62,20,8760.06624784884
39,45,3166.51894310242
106,34,3132.66585329792
176,42,7310.18407664002
47,11,2077.10054520723
80,23,0
54,23,1708.59272111359
115,41,5824.02368006898
192,21,2968.66098863465
104,45,9112.85263170998
89,40,17271.9265525857
141,50,2384.56789457322
100,51,974.77071097997
173,47,5529.28510689564
128,44,2249.94438762717
122,6,5965.18784104786
88,51,1478.62925431465
75,51,7668.64575889152
44,35,9440.88000263597
134,46,2471.32539081279
138,15,0
184,29,3871.28190572788
42,41,18263.8600755524
77,40,4085.8092731294
63,34,9696.9780536453
198,42,1388.65161128195
64,20,4123.46899845752
33,24,14652.1345238625
96,33,54.5889736897984
25,15,1670.72152785043
96,19,0
167,39,7529.98993352179
72,40,6634.29270077882
98,3,0
180,35,3750.43409626049
64,5,0
62,32,10476.8993642088
140,4,0
3,36,6470.24256616286
23,43,1865.38504559676
91,24,19679.9288422526
86,3,0
10,1,4683.46647110651
32,51,6613.65371380709
180,16,5053.5039919195
69,37,2717.29177831799
129,47,3904.10767959813
102,10,4997.79375879546
128,49,453.588403878113
178,18,6863.90170634837
161,28,3082.62909208243
35,25,23264.1703567686
139,29,899.430494365825
78,31,11596.8743179725
